"id","year_filmed","views_as_of_06162017","tags"
"1642","2012","602469","politics,global issues,society"
"1643","2012","2017422","oceans,performance art,disability,TEDx,art"
"1644","2012","868297","books,TEDx,children,design,storytelling,writing,art"
"1645","2012","474556","pharmaceuticals,AIDS,health care,medicine,TEDx,global issues"
"1646","2012","805365","dance,youth,TEDx,activism,social change,women,parenting,children"
"1647","2012","18809201","fashion,photography,TEDx,culture,beauty"
"1648","2012","1029331","Nobel Prize,physiology,molecular biology,chemistry,solar,heart health,disease,illness,health,health care,medicine,medical research,biology,TEDx,science,environment"
"1649","2012","1468256","student,youth,education,TEDx,culture,parenting,children,teaching"
"165","2007","1200946","robots,cognitive science,demo,AI,evolution,design,technology"
"1650","2012","4002280","men,film,TEDx,culture,parenting,identity"
"1651","2012","906279","TEDx,war,global issues,journalism"
"1652","2012","495784","Surgery,health care,medicine,TEDx,technology"
"1653","2010","1788070","spoken word,TEDx,creativity,writing,art"
"1654","2012","3733072","yesallwomen,love,relationships,culture,violence,women,global issues"
"1655","2012","1441003","physiology,marketing,education,genetics,psychology,DNA,biology,TEDx,bacteria,science,microbiology,children,storytelling"
"1656","2012","1043261","work,global issues,technology,business"
"1657","2012","1659403","youth,code,computers,education,TEDx,parenting,children,technology,Internet"
"1658","2012","2641560","gender,Gender spectrum,LGBT,Transgender,relationships,photography,TEDx,United States,inequality,identity"
"1659","2012","522718","compassion,politics,democracy,women,global issues"
"1660","2012","1398081","water,TEDx,food,infrastructure,cities,agriculture,technology,Middle East"
"1661","2012","979500","3D printing,molecular biology,synthetic biology,chemistry,pharmaceuticals,biotech,invention,software,health care,medicine,medical research,product design,biology,innovation,science,engineering,future,technology"
"1662","2013","814209","comedy,children,humor"
"1663","2012","1585729","memory,online video,film,life,art"
"1664","2012","590027","TEDx,politics,Europe,cities,urban planning,global issues,government,art,community"
"1665","2012","978054","industrial design,invention,demo,TEDx,innovation,infrastructure,science,engineering,urban planning,design,materials,technology"
"1666","2012","918813","yesallwomen,feminism,education,TEDx,women,global issues"
"1667","2012","685452","education,inequality,teaching,global issues,data"
"1668","2012","2505187","complexity,economics,TEDx,inequality,global issues,business,data"
"1669","2013","9953080","love,relationships,sex,culture"
"167","2002","1691934","solar system,space,humanity,future,climate change,global issues,technology"
"1670","2012","1616845","behavioral economics,economics,language,business,data"
"1671","2012","1213093","primates,prosthetics,monkeys,exoskeleton,robots,cyborg,programming,biotech,invention,cognitive science,mind,neuroscience,disability,brain,innovation,science,engineering,bioethics,design,technology"
"1672","2012","2441446","yesallwomen,feminism,Africa,education,TEDx,activism,global development,women"
"1673","2012","819380","corruption,crime,economics,protests,TEDx,government"
"1674","2013","1502247","physiology,insects,flight,nanoscale,cognitive science,mind,neuroscience,evolution,biology,biomechanics,brain,TEDx,science,animals,ecology"
"1675","2013","1378947","youth,software,family,culture,engineering,parenting,children"
"1677","2013","1181848","robots,TEDx"
"1678","2013","2836925","TED Prize,code,education,technology"
"1679","2013","742177","energy,work,global issues"
"168","2007","895088","human origins,anthropology,paleontology,Africa,exploration,humanity,science,global issues"
"1682","2013","8817955","TED Brain Trust,performance art,music,entertainment,business"
"1683","2013","3944722","climate change,green,agriculture"
"1684","2013","3647086","submarine,oceans,technology"
"1685","2013","2958416","health,culture,food,social change,garden,agriculture"
"1687","2013","5105033","spoken word,poetry,depression,mental health,compassion,bullying,children"
"1688","2013","4189686","philanthropy,culture,global issues,business"
"1689","2013","1325982","insects,mental health,neuroscience,brain,TEDx"
"169","2007","409901","guitar,live music,Africa,music,entertainment"
"1690","2013","1910145","deextinction,TED Brain Trust,philosophy,biology,technology"
"1691","2013","1631862","poverty,activism,inequality,global issues"
"1692","2012","1051943","design,creativity,technology,TED Fellows"
"1693","2013","1256607","TED Brain Trust,computers,technology,Internet"
"1694","2013","8278915","Asia,family,culture,politics,global issues"
"1695","2013","4331158","transportation,solar energy,space,energy,innovation,exploration,entrepreneur,technology"
"1696","2012","787743","molecular biology,synthetic biology,pharmaceuticals,biotech,disease,illness,public health,genetics,health,health care,medicine,medical research,DNA,biology,innovation,science,engineering,future"
"1697","2013","995409","conducting,live music,virtual reality,entertainment,technology,collaboration,community"
"1698","2013","947047","health,visualizations,biology,architecture,science,microbiology,microbes,climate change,environment,sustainability,biodiversity,ecology,design,collaboration,data,TED Fellows"
"1699","2013","1972202","biodiversity,agriculture,technology"
"170","2007","718095","philanthropy,film,social change,entertainment,global issues,business"
"1700","2013","1517837","nanoscale,invention,water,demo,technology"
"1701","2013","1300384","monkeys,behavioral economics,neuroscience,economics,TEDx,choice"
"1702","2013","1434037","law,corruption,politics,democracy,global issues,government"
"1703","2013","1294454","birds,sex,biology,science,environment,humor"
"1704","2013","1662843","transportation,technology"
"1705","2012","273687","TEDYouth,engineering,technology"
"1706","2012","5195720","behavioral economics,productivity,motivation,TEDx,leadership,work,business"
"1707","2013","2418272","industrial design,design,technology,TED Fellows"
"1708","2013","1106187","robots,computers,AI,TEDx,entertainment,technology"
"1709","2013","1110395","robots,technology"
"171","2007","502366","film,war,entertainment,storytelling,global issues,technology"
"1710","2013","896457","race,math,education,medical research,psychology,curiosity,social change,history,inequality,science,engineering,technology,community"
"1711","2013","814076","heart health,health care,technology"
"1712","2012","1190978","philosophy,math,computers,science and art,physics,culture,activism,innovation,history,science,storytelling,technology"
"1713","2013","1611860","smell,water,health,global issues,big problems,sanitation"
"1714","2013","1161031","depression,mental health,neuroscience,health,brain,TEDx"
"1715","2013","1312565","anthropology,disability,storytelling,writing"
"1716","2013","6894736","toy,dance,entertainment,performance"
"1717","2013","1285795","depression,mental health,neuroscience,health care,brain,TEDx"
"1718","2013","2068839","sociology,culture,language,technology"
"1719","2013","1077505","economics,innovation,global issues,technology"
"172","2007","1177139","simplicity,design,technology,art"
"1720","2013","1183409","economics,work,technology,business"
"1721","2013","1296717","photography,china,politics,identity,global issues,art"
"1722","2013","1190251","plastic,youth,pollution,oceans,biology,bacteria,science,microbiology,microbes,environment,green,ecology,sanitation"
"1723","2013","191583","TED-Ed,computers,education,physics,science,humor,technology,Internet"
"1724","2013","792227","cars,technology"
"1725","2013","4799089","culture,technology"
"1726","2013","2650936","health,business,communication"
"1727","2013","1509496","nuclear energy,youth,chemistry,alternative energy,space,invention,physics,energy,innovation,science,engineering,future,sustainability,technology"
"1728","2013","7012569","education,motivation,children,teaching"
"1729","2013","1545612","Brazil,photography,activism,environment,global issues"
"1730","2013","1552177","TED Brain Trust,social media,culture,security,technology"
"1731","2013","2487489","student,chemistry,education,curiosity,social change,science,teaching,creativity,technology"
"1732","2013","1721424","education,children,business"
"1733","2013","10946554","success,education,psychology,business"
"1734","2013","1045252","education,children,teaching"
"1735","2012","404261","economics,education,TEDx,culture,business"
"1736","2013","2998702","china,education,language"
"1737","2013","1155649","poetry,education"
"1738","2013","6415742","testing,student,education,culture,teaching"
"1739","2013","2148617","TED Brain Trust,education,culture,teaching,global issues"
"174","2007","755898","architecture,cities,green"
"1741","2013","8805853","youth,goal-setting,culture,aging"
"1742","2013","1105966","sociology,culture,technology,data"
"1743","2013","1305076","toy,invention,creativity,technology"
"1744","2013","1453980","death,culture,aging,humanity,life"
"1745","2013","2012969","TED Brain Trust,interface design,culture,design,technology"
"1746","2013","1502608","philanthropy,philosophy,social change,global issues"
"1747","2013","2115319","disability,personal growth,art"
"1749","2013","1400729","open-source,architecture,infrastructure,design"
"175","2007","1462494","education,culture,cities,children,teaching,global issues"
"1750","2013","2617500","live music,music,entertainment,performance,creativity"
"1751","2013","935763","deextinction,anthropology,evolution,TEDx,animals"
"1752","2013","917746","gaming,museums,design,art"
"1753","2012","1586427","yesallwomen,feminism,men,TEDx,violence,women"
"1754","2013","1080787","behavioral economics,psychology,energy"
"1755","2013","3002340","literature,library,culture,entertainment,creativity"
"1756","2013","3943240","love,mental health,family,disability,culture,children"
"1757","2013","1412099","corruption,crime,Africa,global issues,journalism"
"1758","2013","1148941","cognitive science,neuroscience,oceans,computers,intelligence,biology,brain,language,speech,science,animals,communication"
"1759","2013","2032359","robots,economics,work"
"176","2003","731234","flight,drones,alternative energy,invention,energy,design,technology,business"
"1760","2013","944002","economics,film,entertainment,creativity"
"1761","2012","1807610","sex,culture,food"
"1762","2013","1337718","robots,work"
"1763","2013","1568166","weather,photography,nature,entertainment,TED Fellows"
"1764","2013","10150826","robots,drones,technology"
"1765","2013","736550","economics,politics,democracy,Europe,global issues"
"1766","2013","1904789","robots,drones,war,entertainment,technology,writing"
"1767","2013","1469958","Islam,cars,feminism,culture,women,global issues,Middle East"
"1768","2013","1331622","prediction,economics,global issues,business"
"1769","2013","1321460","public health,health,TEDx,architecture,design,global issues,sanitation"
"177","2007","412533","health,culture,climate change,global issues,peace"
"1770","2013","627304","Africa,technology,business,TED Fellows"
"1771","2013","2066372","family,politics,global issues"
"1772","2013","1330839","Islam,faith,culture,religion,global issues,peace"
"1773","2013","1512938","corruption,TEDx,culture,women in business,global issues"
"1774","2013","2419049","obesity,public health,health,health care,medicine,medical research"
"1776","2013","1135832","comedy,design,humor,art"
"1777","2013","549238","deextinction,synthetic biology,conservation,paleontology,genetics,DNA,biology,TEDx,activism,innovation,history,science,climate change,environment,animals,biodiversity,life,bioethics"
"1778","2013","2414765","Asia,china,politics,democracy,global issues,business"
"1779","2013","678010","health,TEDx,global issues,technology,data"
"178","2007","2588886","Planets,NASA,solar system,universe,space,visualizations,exploration,science,design,technology"
"1780","2013","1210342","weather,photography,nature,beauty"
"1781","2013","1752291","computers,interface design,virtual reality,design,technology,TED Fellows"
"1782","2013","4964269","wunderkind,live music,music,children,entertainment,performance"
"1783","2013","612585","biology,TEDx,food,farming,science,botany,agriculture,ecology,plants"
"1784","2013","1557626","corruption,energy,global issues,business"
"1785","2013","1191914","architecture,design,materials"
"1786","2013","713218","animals,technology,Internet"
"1787","2013","4501500","molecular biology,youth,nanoscale,cancer,disease,health,medicine,medical research,biology,science,Internet"
"1788","2013","1003745","sound,animals,nature"
"1789","2013","2993574","travel,happiness,world cultures,culture,writing"
"179","2007","1703438","dance,culture,entertainment,performance"
"1790","2013","2269477","Asia,invention,demo,culture"
"1791","2013","1879002","money,economics,inequality,global issues,business"
"1792","2013","7144616","live music,TEDx,music,creativity"
"1793","2013","684397","design,entertainment,materials,technology"
"1794","2013","1318421","consciousness,robots,behavioral economics,philosophy,cognitive science,mind,neuroscience,Senses,psychology,self,intelligence,biology,brain,TEDx,religion,humanity,science,identity"
"1795","2013","1034454","advertising,marketing,money,business"
"1796","2013","1081533","health care,parenting,children"
"1797","2012","1643220","money,culture"
"1798","2013","1098157","flight,industrial design,transportation,design"
"1799","2013","1056925","health,health care,medicine,peace"
"18","2005","1890837","biomimicry,DNA,evolution,biology,fish,science,environment,animals,design,technology"
"1800","2013","3965319","mental health,health,health care"
"1801","2011","953139","theater,film,fear,entertainment,creativity"
"1802","2013","779779","sports,cars,health,medicine,TEDx,children,technology,data"
"1803","2012","1215474","poetry,education,TEDx,culture,language,politics"
"1804","2013","2036787","music,entertainment,creativity,technology"
"1805","2013","1401838","philosophy,TEDx,culture,language"
"1806","2013","1448330","smell,Senses,sight,design,creativity"
"1807","2013","715038","Africa,culture,language,design,writing"
"1808","2013","1454400","Autism spectrum disorder,live music,disability,TEDx,music"
"1809","2013","1553991","natural disaster,TEDx,architecture,disaster relief,materials"
"181","2007","1589044","aircraft,space,interview,music,entrepreneur,entertainment,global issues,technology,business"
"1810","2013","6362935","memory,consciousness,cognitive science,mental health,mind,neuroscience,health,biology,brain,science"
"1811","2013","1985750","math,humor"
"1812","2013","5167035","sports,culture,war,violence,global issues"
"1813","2013","1037030","memory,neuroscience,TEDx,animals"
"1814","2013","2661124","photography,design,creativity,art,painting"
"1815","2013","13899111","body language,health,psychology"
"1816","2013","874368","deextinction,conservation,oceans,activism,science,climate change,environment,sustainability,animals,biodiversity,ecology,community"
"1817","2013","769824","museums,design,collaboration"
"1818","2013","675995","books,disability,sight,TEDx,choice,design,technology"
"1819","2013","1106942","insects,disease,history,global issues,big problems"
"182","2007","660046","happiness,culture,children,design,entertainment,art"
"1820","2013","1344698","finance,crime,technology"
"1821","2013","14564605","crime,entertainment"
"1822","2013","2393275","insects,bees,conservation,pollution,food,history,science,botany,climate change,environment,sustainability,animals,green,biodiversity,garden,agriculture,ecology,plants,big problems"
"1823","2013","1073483","complexity,algorithm,technology,data,TED Fellows"
"1824","2013","1131150","molecular biology,synthetic biology,fashion,conservation,medical research,activism,innovation,food,social change,science,future,environment,sustainability,animals,agriculture,bioethics,materials,global issues"
"1825","2013","711693","politics,cities,global issues"
"1826","2013","3252266","memory,morality,crime,cognitive science,mental health,mind,neuroscience,medical research,psychology,brain,sight,science,bioethics"
"1827","2013","1809242","student,mind,neuroscience,education,curiosity,science,teaching,humor"
"1828","2013","2927747","education,culture"
"1829","2013","1447850","philosophy,TEDx,politics,global issues,government"
"183","2007","400183","MacArthur grant,complexity,computers,DNA"
"1830","2013","2874143","suicide,youth,depression,mental health,TEDx"
"1831","2013","3061862","ancient world,war,history,entertainment,storytelling"
"1832","2013","1524133","world cultures,death"
"1833","2013","6051397","love,algorithm,culture,technology,data"
"1834","2013","1771676","sound,nanoscale,photography,film,demo,science and art,physics,science,microbiology,creativity,art,beauty"
"1835","2013","1500807","NASA,space,astronomy,technology"
"1836","2013","1650929","Debate,politics,social change,business"
"1837","2013","1522535","Debate,social change,business,big problems"
"1838","2013","913765","transportation,architecture,infrastructure,cities,design"
"1839","2013","733721","Iran,Foreign Policy,politics,global issues,government,peace,Middle East"
"184","2007","3802213","consciousness,illusion,illness,brain,culture,science,technology"
"1840","2013","729060","disease,health,medicine,violence"
"1841","2013","993921","literature,social media,culture,storytelling,technology,writing"
"1842","2013","2033135","Asia,china,Africa,economics,infrastructure,politics,democracy,global issues"
"1843","2013","1019780","transportation,culture,cities,design"
"1845","2013","1169577","molecular biology,synthetic biology,biotech,health,health care,medicine,medical research,biology,biomechanics,science,engineering,future,design,materials,technology"
"1846","2013","1435933","photography,culture,cities,design,creativity"
"1847","2013","968915","health care,death,culture,life"
"1848","2013","1289305","privacy,social media,policy,technology,business"
"1849","2013","2616540","dance,performance art,culture,identity,art"
"185","2007","540749","economics,food,women in business,global issues,technology,business"
"1850","2013","1025979","culture,sustainability,design,global issues,business"
"1851","2013","1192756","Africa,economics,global issues,business"
"1852","2013","2126987","love,relationships,literature,sex,books,culture,writing"
"1853","2013","1614897","String theory,dark matter,nanoscale,universe,physics,energy,TEDx,exploration,science"
"1854","2013","992053","Africa,architecture,design,TED Fellows"
"1855","2013","803766","finance,economics,investment,innovation,women in business,technology,business,government"
"1856","2013","1229322","culture,entertainment,storytelling,technology,communication"
"1857","2013","1102421","nuclear energy,disaster relief,adventure"
"1858","2013","1620665","anthropology,culture,business,sanitation"
"1859","2013","2206662","narcotics,terrorism,innovation,global issues,business"
"186","2007","292389","guitar,live music,Africa,music,entertainment,performance"
"1860","2013","908587","cyborg,biotech,neuroscience,health care,medicine,medical research,disability,biology,brain,innovation,science,animals,technology"
"1861","2013","1518997","computers,terrorism,security,global issues,technology,Internet"
"1862","2013","4227798","magic,math,entertainment"
"1863","2013","952693","Senses,sight,urban planning,agriculture,design"
"1864","2013","1007595","Africa,innovation,violence,entrepreneur,global issues,peace"
"1865","2013","1500299","obesity,health,cities"
"1866","2013","1146649","gaming,entertainment,performance"
"187","2007","1878435","law,entertainment,creativity,technology,business"
"1872","2013","594577","drones,sustainability,animals,global issues"
"1873","2013","843946","public health,health,health care,medical research"
"1874","2013","679795","mining,drones,weather,conservation,map,photography,Africa,visualizations,science,botany,natural resources,climate change,environment,animals,nature,green,biodiversity,trees,ecology,plants,technology"
"1875","2013","1196630","disability,TEDx,culture,technology"
"1876","2013","983530","drones,transportation,infrastructure,technology"
"1877","2013","911837","culture,aging,social change"
"1878","2013","2002837","memory,consciousness,productivity,cognitive science,mind,neuroscience,education,psychology,intelligence,brain,science"
"1879","2013","2398489","Brazil,neuroscience,evolution,brain"
"188","2007","396950","guitar,live music,culture,music,singer,entertainment,performance,technology"
"1880","2013","5771021","faith,happiness,culture"
"1881","2013","913310","economics,social change,business"
"1882","2013","1493775","illness,medical research,biology,TEDx"
"1883","2013","1790212","media,politics,news,entertainment,journalism"
"1885","2013","1216138","robots,open-source,oceans,exploration,adventure,technology,TED Fellows"
"1886","2013","861970","Latin America,infrastructure,cities,sustainability,design"
"1887","2013","1414244","consumerism,transportation,culture"
"1888","2013","881422","Africa,architecture,sustainability"
"1889","2013","661152","TEDYouth,exploration"
"189","2003","1477810","suicide,depression,mental health,illness,health care,medicine,brain,science,technology"
"1890","2013","1565226","Africa,culture,nature"
"1891","2013","2229085","philosophy,death,TEDx,culture,history,humanity"
"1892","2013","819472","culture,infrastructure,cities,business"
"1893","2013","1417308","economics,infrastructure,technology"
"1894","2013","6921648","suicide,depression,mental health,medicine,TEDx,culture"
"1895","2013","939926","innovation,design"
"1896","2013","4088964","extreme sports,goal-setting,culture,aging"
"1897","2013","3178351","behavioral economics,psychology,TEDx"
"1898","2013","8633478","comedy,women,entertainment,humor"
"19","2005","1481139","philosophy,evolution,culture,choice,history,science,future,technology"
"190","2007","685160","telecom,culture,cities,design,global issues,technology,communication"
"1900","2013","4028144","obesity,neuroscience,health"
"1901","2013","896987","pharmaceuticals,finance,cancer,medicine,medical research,business"
"1902","2013","1180008","map,books,computers,library,TEDx,history,technology"
"1903","2013","1276206","music,entertainment,technology,TED Fellows"
"1904","2013","1507463","sustainability,business"
"1905","2013","993427","Vaccines,pharmaceuticals,nanoscale,biotech,disease,illness,public health,health,health care,medicine,medical research,product design,demo,biology,innovation,science,future,microbiology,bioethics,technology"
"1906","2013","2065700","feminism,leadership,work,women,women in business"
"1907","2013","1139566","museums,TEDx,history,design,art"
"1908","2013","2908845","jazz,robots,AI,TEDx,music,entertainment,technology"
"1909","2013","1787037","relationships,sex,culture,TED Fellows,Egypt,Middle East"
"191","2004","7043115","faith,God,happiness,Buddhism,photography,brain,culture,religion,global issues,peace"
"1910","2013","1086501","depression,heart health,health,women"
"1911","2013","3098742","productivity,leadership,work,business"
"1912","2013","2265523","fear,entertainment,communication"
"1913","2013","1031933","education,teaching,technology,Internet"
"1914","2013","858629","crime,data"
"1915","2013","907610","toy,youth,TEDYouth,activism"
"1916","2013","958700","complexity,TEDx,animals"
"1917","2013","1437248","animation,entrepreneur,creativity"
"1918","2013","1022314","yesallwomen,gender,violence,women"
"1919","2013","831008","map,space,technology"
"192","2007","830883","china,science,engineering,climate change,global issues,technology,business"
"1920","2013","686415","architecture,infrastructure,cities,design"
"1921","2013","1052237","interface design,creativity,art,TED Fellows"
"1922","2013","1960124","gaming,robots,cosmos,programming,extraterrestrial life,universe,cognitive science,mind,neuroscience,math,software,intelligence,AI,machine learning,physics,brain,TEDx,science,engineering,future"
"1923","2013","0","TEDYouth,math,music,performance"
"1924","2013","865590","TEDx,media,politics,democracy,journalism"
"1925","2012","3757920","love,philosophy,TEDx,culture"
"1926","2013","1213743","sustainability,green,design"
"1927","2013","950806","finance,investment,sustainability,business"
"1928","2013","847071","prosthetics,biomimicry,sound,cyborg,biotech,self,disability,hearing,vocals,speech,innovation,science,engineering,identity,technology"
"1929","2013","752143","poverty,economics,global issues"
"193","2007","853154","TED Brain Trust,biotech,energy,science,biodiversity,technology,business"
"1930","2013","3537689","motivation,leadership,women in business,business"
"1931","2013","1957114","relationships,sex,culture"
"1932","2013","2600962","happiness,empathy,TEDx,culture"
"1933","2013","841928","software,cities,urban planning"
"1934","2013","1245360","disability,language,speech,technology"
"1935","2013","985773","molecular biology,synthetic biology,biotech,cognitive science,neuroscience,health,health care,medicine,medical research,disability,brain,innovation,aging,science,future"
"1936","2013","1292416","dark matter,youth,TEDYouth,universe,space,astronomy,physics,energy,science"
"1937","2013","1205035","finance,global issues,business"
"1938","2013","1363073","economics,business"
"1939","2013","921104","medical imaging,memory,Surgery,biotech,cognitive science,neuroscience,computers,interface design,medical research,intelligence,visualizations,brain,science,engineering,creativity,technology"
"194","2007","1165396","String theory,physics,science,storytelling,technology"
"1940","2013","813940","business,Internet,government,TED Fellows"
"1941","2012","1737847","health,physics,global issues,TED Fellows"
"1942","2013","789565","DNA,art,TED Fellows"
"1943","2013","1362248","work-life balance,men,inequality,policy,work,women"
"1944","2013","1467661","Africa,innovation,technology"
"1945","2013","2352897","sex,biology,animals"
"1946","2013","721052","behavioral economics,morality,empathy,crime,cognitive science,neuroscience,psychology,brain,culture,prison,science,global issues"
"1947","2013","1235319","youth,gender,LGBT,Transgender,medicine,TEDx"
"1948","2012","969603","TED Brain Trust,philosophy,brain,culture"
"1949","2014","752006","TED Prize,corruption,global issues,business"
"195","2005","697310","robots,evolution,science,design,technology"
"1950","2014","3976792","law,Internet,journalism"
"1951","2014","4511740","live music,space,culture,fear,life,adventure"
"1952","2014","1180049","law,culture,global issues,government"
"1953","2014","2259658","TED Brain Trust,intelligence,AI,algorithm,business"
"1954","2014","2063135","yesallwomen,feminism,family,education,women,global issues"
"1955","2014","1589139","insects,nanoscale,mind,biology,brain,science,microbiology,microbes,animals,biodiversity"
"1956","2014","1023042","ancient world,architecture,engineering,design"
"1957","2013","1973410","sociology,social media,TEDx,technology,data"
"1958","2014","873054","social media,security,technology"
"1959","2014","7218049","prosthetics,dance,exoskeleton,technology"
"196","2007","582562","music,entertainment,humor,technology"
"1960","2014","1087880","corruption,politics,democracy,government"
"1961","2014","3097208","fashion,gender,LGBT,Transgender,activism,inequality,identity,beauty"
"1962","2014","733454","dance,genetics,music"
"1963","2014","1713909","universe,space,big bang,astronomy,physics,time"
"1964","2014","2951836","philanthropy,money,relationships,activism,business"
"1965","2013","1949118","presentation,magic,education,innovation,religion,social change,science,teaching,storytelling"
"1966","2014","1038942","architecture,cities"
"1969","2014","6543959","insects,nanoscale,photography,film,bacteria,nature"
"197","2007","1735575","philosophy,humanity,design,storytelling,humor"
"1971","2014","736326","prosthetics,Senses,global issues,technology,TED Fellows"
"1972","2014","1041039","violence,politics"
"1973","2014","2240707","philosophy,success,psychology,self"
"1974","2014","1869268","family,culture,parenting"
"1976","2014","1259817","Planets,space,astronomy,technology"
"1977","2014","1103471","typography,industrial design,design"
"1978","2014","2229399","failure,motivation,art"
"1979","2014","1029324","nuclear energy,industrial design,alternative energy,visualizations,physics,energy,science,future,sustainability"
"198","2007","1503936","math,Africa,education,culture,architecture,design,technology"
"1981","2013","2488311","biomimicry,sports,oceans,TEDx,design"
"1982","2014","1681764","space,astronomy,technology"
"1983","2014","3478467","success,failure,creativity,writing"
"1984","2013","1024002","programming,computers,interface design,Senses,design,TED Fellows"
"1985","2014","2213621","pregnancy,Autism spectrum disorder,Vaccines,cognitive science,mental health,neuroscience,disease,family,genetics,health,medicine,medical research,psychology,disability,DNA,biology,science,children"
"1986","2014","2767983","sports,genetics,innovation"
"1987","2014","1040556","invention,public health,health,sight,TED Fellows"
"1988","2014","1137790","weather,code,prediction,pollution,water,math,computers,visualizations,algorithm,science,future,botany,climate change,environment,green,ecology,data"
"1989","2014","1475619","theater,future,performance,humor"
"199","2005","8264770","magic,math,education,entertainment,performance"
"1990","2014","2136724","race,inequality,women in business,business,communication"
"1991","2014","1657903","robots,magic,entertainment,technology"
"1992","2014","983865","iraq,military,war,collaboration"
"1993","2014","2470647","math,computers,Google,science and art,physics,comedy,science,humor,data,art"
"1994","2014","2996199","music,performance"
"1995","2014","1368203","ants,biomimicry,insects,cancer,computers,algorithm,evolution,science,animals,nature,Internet"
"1996","2013","1493704","finance,law,crime,TEDx,business"
"1997","2014","2440642","suicide,depression,mental health,culture"
"1998","2014","6236929","military,leadership,work,business"
"1999","2014","2240647","film,war,global issues,journalism,peace"
"2","2006","1379328","MacArthur grant,simplicity,industrial design,alternative energy,invention,engineering,design,global issues"
"20","2004","6872959","consumerism,marketing,economics,culture,media,food,choice,storytelling,business"
"200","2007","1550216","empathy,psychology,compassion,brain,community"
"2000","2014","1780120","spoken word,online video,entertainment,storytelling,humor"
"2001","2014","954193","insects,evolution,biology"
"2002","2013","1171095","smell,biology,TEDx,animals"
"2003","2013","1175485","oceans,TEDx,sustainability"
"2004","2014","952804","privacy,disease,genetics,health,biology,data"
"2005","2014","4601138","LGBT,depression,pain,culture,identity"
"2006","2014","1096063","environment,nature"
"2007","2014","1181967","sports,virtual reality,technology"
"2008","2014","920388","war,peace"
"2009","2014","1437519","travel,youth,photography,global issues,journalism,art,TED Fellows"
"201","2007","517927","relationships,parenting,communication,writing,community"
"2010","2014","1899329","live music,music,performance,creativity"
"2011","2014","1534023","atheism,faith,philosophy,religion,global issues"
"2012","2014","3312208","TED Brain Trust,psychology,culture,humanity,personality"
"2013","2013","1097835","poetry,culture,language"
"2014","2014","1221410","biomimicry,insects,exoskeleton,robots,invention,demo,biology,science,animals,design,technology"
"2015","2014","1904625","cloud,TED Brain Trust,AI,evolution,brain,future,technology"
"2016","2014","689336","LGBT,race,film,activism,inequality"
"2017","2014","2384817","disability,motivation,TEDx,activism,comedy,humor"
"2018","2014","1016257","terrorism,activism,politics,environment,animals,journalism,TED Fellows"
"2019","2014","2067788","hack,crime,terrorism,activism,Internet"
"202","2007","4276077","sports,TED Books,play,parenting,children,design,entertainment,technology"
"2020","2013","997833","theater,medical research,science and art,social change,science,teaching,creativity"
"2021","2014","1097401","family,genetics,comedy,history,humanity,entertainment,humor"
"2022","2014","1589688","TEDx,culture,language"
"2023","2014","4754155","philosophy,decision-making,choice"
"2024","2014","4353955","TED Books,terrorism,violence,peace,Middle East"
"2025","2014","2571512","travel,mindfulness,happiness,productivity,work-life balance,TED Books,meditation,peace"
"2026","2014","2510124","technology"
"2027","2014","1631661","magic,entertainment"
"2028","2014","3841949","spoken word,race,culture,language"
"2029","2014","1420835","crime,culture,prison"
"203","2007","919707","comedy,humor"
"2030","2014","1453028","privacy,hack,TEDx,security,technology,business,communication"
"2031","2014","1513104","love,poetry,death,animals,creativity"
"2032","2014","1060115","philosophy,astronomy,religion,history,science,climate change"
"2033","2014","1165579","TEDx,music,technology"
"2034","2013","19512254","sound,culture,speech"
"2035","2013","987747","code,software,terrorism,TEDx,war,security,technology"
"2036","2014","4043308","Foreign Policy,statistics,policy,global issues,government"
"2037","2014","1058086","behavioral economics,mind,psychology"
"2038","2014","1862220","TEDx,personal growth,war,politics,history,democracy,children,storytelling"
"2039","2014","1561069","culture,design,technology,business"
"204","2007","3673751","Latin America,love,world cultures,women,parenting,entertainment,storytelling,global issues"
"2041","2014","2014229","nuclear energy,telecom,natural disaster,investment,product design,innovation,science,engineering,entrepreneur,design,creativity,technology,business"
"2042","2014","1419021","terrorism,religion,war,politics,history,storytelling"
"2043","2014","1857697","prediction,computers,interface design,intelligence,innovation,future,technology"
"2044","2013","1426426","culture,social change,choice"
"2045","2014","2083957","consciousness,philosophy,neuroscience,brain"
"2046","2013","1325866","Surgery,invention,medicine,product design,engineering"
"2047","2014","824856","oceans,art,TED Fellows"
"2048","2014","926729","3D printing,crowdsourcing,biomimicry,biotech,visualizations,science and art,biology,bacteria,science,microbiology,microbes,collaboration,art"
"2049","2014","3982224","comedy,humanity,entertainment,performance,humor,community"
"205","2007","3445488","film,entertainment,storytelling,humor,technology"
"2050","2014","4470427","open-source,code,computers,education,technology,business"
"2052","2014","824318","crowdsourcing,molecular biology,open-source,software,medical research,visualizations,science and art,biology,animation,science,technology,communication,TED Fellows"
"2053","2014","1173967","intelligence,history,Europe,government"
"2054","2014","1633310","live music,disability,TEDx,music,media,speech"
"2055","2014","1589303","economics,social change,inequality,business"
"2056","2014","1289449","heart health,statistics,health,TEDx,data"
"2057","2014","805231","crime,TEDx,culture,prison,social change,global issues"
"2059","2014","3695300","spoken word,poetry,social change"
